FruitID,Weight_g,Diameter_mm,Length_mm,DryMatter_pct,Brix,Firmness_kgf,SkinDefects_pct,ShapeIndex,Grade
1,102.5,56.3,69.6,15.3,6.8,5.7,5.3,0.81,B
2,92.9,56.2,70.9,15.5,6.7,5.5,6.4,0.79,B
3,104.7,50.8,69.9,15.6,5.8,5.1,1.7,0.73,B
4,117.8,56.7,72.4,16.9,7,5.5,1.4,0.78,A
5,91.5,60.9,76.2,14.4,5.3,6,2.8,0.8,B
6,91.5,52.9,69.3,14.2,6,5.4,0.2,0.76,B
7,118.7,62.2,75.5,17.4,4.9,5.9,3.5,0.82,B
8,106.5,60,69.3,14.8,7.7,4.7,4.6,0.87,B
9,88,55.1,69,13.6,6.3,4.9,1.5,0.8,C
10,103.1,57.4,74.9,14.8,8.2,4.8,0.6,0.77,B
11,88,64.4,75.2,15,7.1,4.9,0.1,0.86,B
12,88,60.9,75,17.8,6.9,6.8,3,0.81,B
13,98.6,58,67.4,16.9,6,6.2,0.9,0.86,B
14,66.3,57,70.4,17.2,5.7,4.4,1.9,0.81,Reject
15,69.1,58.3,74.9,16.7,6.9,5.9,1.5,0.78,Reject
16,86.6,56,72.1,16.9,6.4,5.1,0.6,0.78,B
17,79.8,49.6,68.2,14.5,5.4,4.8,2.1,0.73,C
18,99.7,66.2,73.6,15.2,5.3,4,1.8,0.9,B
19,81.4,58.6,69.5,14,5.7,6.5,2.9,0.84,B
20,73.8,59.6,78.3,15.2,8,4.1,0.9,0.76,C
21,117,57.8,77.4,16.5,8.3,5.4,0.7,0.75,A
22,91.6,55.1,74.1,15.7,6.7,4.6,5.1,0.74,B
23,96,57.3,76.8,17.5,6.6,6.3,3.6,0.75,A
24,73.6,51.6,72.2,13.8,6.2,5.2,4.4,0.71,C
25,86.8,67.1,74.7,16.3,5.8,5.4,0.4,0.9,B
26,96.7,53.1,77.2,13.6,7.6,5.4,0.8,0.69,C
27,77.7,53.9,72.9,15.6,8,5.8,2.6,0.74,C
28,100.6,56.2,71.1,16.6,5.8,5.5,5.8,0.79,B
29,86,63.2,66,15.2,6.4,5.5,6.7,0.96,B
30,90.6,58.1,71.7,16.3,6.1,5,5.3,0.81,B
31,86,53.1,74.9,14.1,6.2,3.9,0.1,0.71,B
32,122.8,63,75.3,13,7.4,4.4,5.2,0.84,C
33,94.8,60.9,73.8,16.3,5.5,6.2,6.9,0.83,B
34,79.1,60.2,70.1,18.1,6.9,5.2,0.2,0.86,C
35,107.3,60.9,65.1,14,7.1,4.8,1.6,0.94,B
36,76.7,67.6,70.3,17.3,6.4,4.1,2.3,0.96,C
37,98.1,66.7,70.9,15.6,7.2,3.8,0.8,0.94,B
38,65.6,55.3,70.9,13.5,6.6,4.8,2.2,0.78,Reject
39,75.1,64.5,74.2,13.8,7.5,6.4,6.5,0.87,C
40,98,59.5,78.9,15.5,5.3,4.9,6.1,0.75,B
41,106.1,60,72.4,14.9,6.2,5.9,8.4,0.83,B
42,97.6,51.2,71.2,13.5,6.4,4.9,2,0.72,C
43,93.3,57.3,71.1,13,4.5,6.1,1.6,0.81,C
44,90.5,54.7,72.4,14.2,5.6,5.1,3.3,0.76,B
45,72.8,61.3,69.1,15.8,5.8,4.3,1.6,0.89,C
